,neighborhood,borough,nb latitude,nb longitude,lyft_pickups
93,Prospect Park South,Brooklyn,40.647008603185185,-73.96261316716048,492
94,Georgetown,Brooklyn,40.62384524478419,-73.91607483951324,125
95,East Williamsburg,Brooklyn,40.70849241041548,-73.93885815269195,1741
96,North Side,Brooklyn,40.714822906532014,-73.95880857587582,4855
97,South Side,Brooklyn,40.71086147265064,-73.95800095153331,380
98,Ocean Parkway,Brooklyn,40.61305976667942,-73.96836678035541,170
99,Fort Hamilton,Brooklyn,40.61476812694226,-74.03197914537984,88
100,Chinatown,Manhattan,40.71561842231432,-73.99427936255978,5751
101,Washington Heights,Manhattan,40.85190252555305,-73.93690027985234,511
102,Inwood,Manhattan,40.86768396449915,-73.92121042203897,135
103,Hamilton Heights,Manhattan,40.823604284811935,-73.94968791883366,641
104,Manhattanville,Manhattan,40.8169344294978,-73.9573853935188,573
105,Central Harlem,Manhattan,40.81597606742414,-73.94321112603905,513
106,East Harlem,Manhattan,40.79224946663033,-73.94418223148524,664
107,Upper East Side,Manhattan,40.775638573301805,-73.96050763135,3046
108,Yorkville,Manhattan,40.775929849884875,-73.94711784471826,2890
109,Lenox Hill,Manhattan,40.76811265828733,-73.9588596881376,3535
110,Roosevelt Island,Manhattan,40.76215960576283,-73.94916769227953,125
111,Upper West Side,Manhattan,40.787657998534854,-73.97705923630603,2267
112,Lincoln Square,Manhattan,40.77352888942166,-73.98533777001262,3350
113,Clinton,Manhattan,40.75910089146212,-73.99611936309479,5845
114,Midtown,Manhattan,40.75469110270623,-73.98166882730304,7569
115,Murray Hill,Manhattan,40.748303077252174,-73.97833207924127,7954
116,Chelsea,Manhattan,40.744034706747975,-74.00311633472813,6751
117,Greenwich Village,Manhattan,40.72693288536128,-73.99991402945902,8936
118,East Village,Manhattan,40.727846777270244,-73.98222616506416,9802
119,Lower East Side,Manhattan,40.71780674892765,-73.98089031999291,2795
120,Tribeca,Manhattan,40.721521967443216,-74.01068328559087,2382
121,Little Italy,Manhattan,40.71932379395907,-73.99730467208073,2630
122,Soho,Manhattan,40.72218384131794,-74.00065666959759,19
123,West Village,Manhattan,40.73443393572434,-74.00617998126812,4347
124,Manhattan Valley,Manhattan,40.797307041702865,-73.96428617740655,1466
