,neighborhood,mean_x,borough,latitude,longitude
80,Hunts Point,1623.1289537712894,Bronx,40.80972987938709,-73.88331505955291
81,Inwood,1811.0,Manhattan,40.86768396449915,-73.92121042203897
82,Jackson Heights,1841.6666666666667,Queens,40.75198138007367,-73.88282109164365
83,Jamaica Estates,1887.6666666666667,Queens,40.71680483014613,-73.7872269693666
84,Jamaica Hills,1758.3333333333333,Queens,40.71145964370482,-73.79646462081593
85,Kensington,1766.0,Brooklyn,40.642381958003526,-73.98042110559474
86,Kew Gardens,1791.6666666666667,Queens,40.7051790354148,-73.82981905825703
87,Kew Gardens Hills,1749.6666666666667,Queens,40.722578244228046,-73.82087764933566
88,Kingsbridge,1799.3333333333333,Bronx,40.88168737120521,-73.90281798724604
89,Laurelton,1561.6666666666667,Queens,40.66788389660247,-73.74025607989822
90,Lenox Hill,3566.3333333333335,Manhattan,40.76811265828733,-73.9588596881376
91,Little Italy,3066.0,Manhattan,40.71932379395907,-73.99730467208073
92,Little Neck,2389.795620437956,Queens,40.7708261928267,-73.7388977558074
93,Long Island City,2590.3333333333335,Queens,40.75021734610528,-73.93920223915505
94,Longwood,1808.2746732612713,Bronx,40.81509904545822,-73.8957882009446
95,Lower East Side,2615.0,Manhattan,40.71780674892765,-73.98089031999291
96,Manhattan Beach,1873.3333333333333,Brooklyn,40.57791350308657,-73.94353722891886
97,Manor Heights,1556.4622871046229,Staten Island,40.60180957631444,-74.12059399718001
98,Marble Hill,1748.1289537712894,Manhattan,40.87655077879964,-73.91065965862981
99,Marine Park,1923.1289537712894,Brooklyn,40.609747779894604,-73.93134404108497
100,Maspeth,1916.6666666666667,Queens,40.725427374093606,-73.89621713626859
101,Melrose,1904.7956204379561,Bronx,40.819754370594936,-73.90942160757436
102,Middle Village,1973.1289537712894,Queens,40.716414511158185,-73.88114319200604
103,Midland Beach,1915.941339927938,Staten Island,40.57352690574283,-74.09348266303591
104,Midwood,1962.6666666666667,Brooklyn,40.62559589869843,-73.95759523489838
105,Mill Basin,1999.2746732612713,Brooklyn,40.61597423962336,-73.91515391550404
106,Morningside Heights,2812.3333333333335,Manhattan,40.807999738165826,-73.96389627905332
107,Morris Heights,1675.0,Bronx,40.84789792606271,-73.91967159119565
108,Morris Park,1716.6666666666667,Bronx,40.847549063536334,-73.85040178030421
109,Morrisania,1975.6080065946046,Bronx,40.82359198585534,-73.90150648943059
110,Mott Haven,2231.6666666666665,Bronx,40.80623874935177,-73.91609987487575
111,Mount Eden,1645.0,Bronx,40.84382617671654,-73.91655551964419
112,Mount Hope,1571.0,Bronx,40.84884160724665,-73.90829930881988
113,Murray Hill,3476.0,Manhattan,40.748303077252174,-73.97833207924127
114,Murray Hill,3476.0,Queens,40.764126122614066,-73.81276269135866
115,New Brighton,1949.2746732612713,Staten Island,40.64061455913511,-74.08701650516625
116,New Dorp,1689.7956204379561,Staten Island,40.57257231820632,-74.1164794360638
117,New Springville,1773.1289537712894,Staten Island,40.594252379161695,-74.16496031329827
118,Norwood,1576.6666666666667,Bronx,40.87722415599446,-73.8793907395681
119,Oakwood,1713.1289537712894,Staten Island,40.5584622432888,-74.12156593771896
120,Ocean Hill,1866.6666666666667,Brooklyn,40.678402554795355,-73.91306831787395
121,Ozone Park,1916.6666666666667,Queens,40.680708468265415,-73.84320266173447
122,Park Slope,2425.0,Brooklyn,40.67232052268197,-73.97705030183924
123,Parkchester,1996.3333333333333,Bronx,40.837937822267286,-73.85600310535783
124,Pelham Bay,1583.3333333333333,Bronx,40.85064140940335,-73.8320737824047
125,Pelham Parkway,1916.3333333333333,Bronx,40.85741349808865,-73.85475564017999
126,Pomonok,1939.7956204379561,Queens,40.73493618075478,-73.80486120040537
127,Prospect Heights,2330.3333333333335,Brooklyn,40.676822262254724,-73.9648592426269
128,Prospect Lefferts Gardens,2312.6666666666665,Brooklyn,40.658420017469815,-73.95489867077713
129,Queens Village,1783.0,Queens,40.718893092167356,-73.73871484578424
130,Red Hook,2383.3333333333335,Brooklyn,40.676253230250886,-74.0127589747356
131,Rego Park,1941.0,Queens,40.72897409480735,-73.8578268690537
132,Richmond Hill,1783.3333333333333,Queens,40.69794731471763,-73.83183321446887
133,Ridgewood,1870.3333333333333,Queens,40.70832315613858,-73.90143517559589
134,Riverdale,1941.6666666666667,Bronx,40.890834493891305,-73.9125854610857
135,Rochdale,2065.2746732612713,Queens,40.67521139591733,-73.77258787620906
